localhost:模板 zhangyuehui$ inkscape -S 1-1~1-1.6.ai 
svg2,500.40399,179.4201,3179.7706,604.72532
path16,2476.665,1455.211,283.466,453.543
image26,0,0,1,1
path34,2708.094,1844.536,50.386,16.659
image44,0,0,1,1
path54,2703.991,1859.577,56.139,49.177
image64,0,0,1,1
path72,2476.665,1455.211,283.465,453.543
path80,2487.07,1463.28,259.43,27.04
path84,2487.26,1465.87,259.24,24.45
path440,2476.665,1455.211,283.465,453.543
path948,2095.162,1483.557,283.465,425.197
image956,0,0,1,1
image966,0,0,1,1
path976,2322.488,1859.577,56.139,49.177
image986,0,0,1,1
path994,2095.162,1483.557,283.465,425.197
path1002,2105.57,1492.46,259.43,27.05
path1006,2105.76,1495.06,259.24,24.45
path1362,2095.162,1483.557,283.465,425.197
path1870,1750.534,1511.904,283.464,396.85
image1878,0,0,1,1
image1888,0,0,1,1
path1898,1977.859,1859.577,56.139,49.177
image1908,0,0,1,1
path1916,1750.535,1511.903,283.464,396.851
path1924,1760.94,1521.87,259.43,27.04
path1928,1761.13,1524.46,259.24,24.45
path2284,1750.535,1511.903,283.464,396.851
path2792,1410.517,1540.251,283.466,368.503
image2800,0,0,1,1
path2808,1410.517,1540.251,283.465,368.504
path2816,1420.92,1550.37,259.43,27.05
path2820,1421.11,1552.97,259.24,24.45
path3176,1410.517,1540.251,283.465,368.504
image3490,0,0,1,1
path3498,1410.517,1540.251,283.465,368.504
path3508,1637.843,1859.577,56.14,49.177
image3518,0,0,1,1
path3526,1410.517,1540.251,283.465,368.504
path3730,1062.27,1568.596,283.464,340.158
image3738,0,0,1,1
image3748,0,0,1,1
path3758,1290.428,1860.307,55.306,48.447
image3768,0,0,1,1
path3776,1062.27,1568.597,283.464,340.157
path3784,1076.72,1579.15,255.58,26.65
path3788,1076.91,1581.71,255.39,24.09
path4144,1062.27,1568.597,283.464,340.157
path4652,734.27,1596.943,283.464,311.811
image4660,0,0,1,1
image4670,0,0,1,1
path4680,962.428,1860.307,55.307,48.447
image4690,0,0,1,1
